order_id,payment_id,amount,currency,status,captured_at,gateway_fee,tax
order_x9G81aSQHqNgAC,pay_72qFl41sNLjVHW,45314.89,INR,captured,2026-08-20T17:20:31,1069.43,0.0
order_L0PragiqwzcdIw,pay_rxBIZMLhfx9Iwi,51408.12,INR,captured,2026-08-08T16:02:21,1213.23,0.0
order_GMEBdqir2EbNXS,pay_tazn0h6Oj5sRzD,40402.57,INR,captured,2026-08-06T16:09:24,953.5,0.0
order_NQLlpIn8srmRtv,pay_5XqhPx8Y7XsrSv,37880.78,INR,captured,2026-08-21T19:30:13,893.99,0.0
order_9s8OrJQUdLE4rX,pay_LvNMQSOZM4OtBJ,62384.4,INR,captured,2026-08-18T22:18:20,1472.27,0.0
order_mH5RiMKpPGNdzS,pay_gVaI5z52Dm7tO4,8059.43,INR,captured,2026-08-22T16:47:46,190.2,0.0
order_uRqphlhHVlnES8,pay_GrgmolaHr8IRh1,41979.25,INR,captured,2026-08-20T17:18:30,990.72,0.0
order_DWFgF6cW1GC7dD,pay_yQE4efLerNHu9G,38838.95,INR,captured,2026-08-05T14:06:50,916.6,0.0
order_Ze8NBQv2WNl7A4,pay_dhjkuRv630pNIh,26088.68,INR,captured,2026-08-03T09:32:41,615.69,0.0
order_jRxcDm4vY2nOyr,pay_eVvFQ0ub2qJ8cK,29710.56,INR,captured,2026-08-10T14:38:32,701.17,0.0
order_jeBsrdFtCdZe11,pay_MFCIX3BYOtDjdg,78443.24,INR,captured,2026-08-10T19:05:32,1851.25,0.0
order_w5m9lVbT6mXZe0,pay_XPispjAxBLKH51,35846.41,INR,captured,2026-08-19T20:23:44,845.98,0.0
order_9xb50OXirZRiRB,pay_aepZITGgrscAXC,27205.76,INR,captured,2026-08-05T17:34:01,642.06,0.0
order_syf348JkxisEdA,pay_AEeppMKmgs6uMX,28346.28,INR,captured,2026-08-10T14:52:52,668.98,0.0
order_4KR1VxavU07zUH,pay_LnnBbuQzkChMby,48191.12,INR,captured,2026-08-20T09:41:27,1137.31,0.0
order_yRmUYdg2luCq1G,pay_NLLKv0MYRsMfih,26304.61,INR,captured,2026-08-15T13:44:09,620.79,0.0
order_312WnXRCI4hiCG,pay_ItUBY3A4Bj1BU0,23932.81,INR,captured,2026-08-04T15:40:15,564.82,0.0
order_p4dNZcui8kBRIg,pay_6QjcwIAcw58cwQ,56855.87,INR,captured,2026-08-09T20:35:56,1341.8,0.0
order_b3HNspYzCQjzCv,pay_i1t9vyVFgohBid,80385.02,INR,captured,2026-08-07T11:56:13,1897.09,0.0
order_h3FPuRIlPxUkJz,pay_ZsnWLtBPFX7TOr,56595.65,INR,captured,2026-08-10T09:52:48,1335.65,0.0
order_CjkGOM5WCZKtp5,pay_rBUJPuEuEvqrK2,47464.34,INR,captured,2026-08-04T11:05:15,1120.16,0.0
order_BArp5B1Id9Z850,pay_kEnydx9qWCA79I,61205.5,INR,captured,2026-08-16T11:18:13,1444.45,0.0
order_zKMWx4sKAJd7gV,pay_MqfoIjzQDcrr1e,20224.31,INR,captured,2026-08-12T20:50:40,477.3,0.0
order_BEuVx518ox1ztD,pay_4x9XOj7h7ug0g4,1796.87,INR,captured,2026-08-16T14:55:41,42.41,0.0
order_YkBzPoBrUBHtYD,pay_Zw69CrxG7YXipN,76817.6,INR,captured,2026-08-03T22:06:45,1812.89,0.0
order_nUIQnxCQQj9Ds5,pay_fZTvvWGvgSCecS,2408.44,INR,captured,2026-08-10T18:06:43,56.84,0.0
order_i71S87XwXaHCPP,pay_KY6gob2I4ndZ4s,35001.0,INR,captured,2026-08-12T08:02:19,826.02,0.0
order_KfFYCFCdCYSyYU,pay_Jcvd95e5bzVV8O,36020.58,INR,captured,2026-08-21T15:55:58,850.08,0.0
order_i9SF8dBZvV7yVb,pay_q9Ew6AQOfMXSfj,60636.72,INR,captured,2026-08-16T19:24:20,1431.02,0.0
order_0c5zZ5cZWlU2rc,pay_sL5uCNG3iFqYuT,55280.11,INR,captured,2026-08-22T08:47:21,1304.61,0.0
order_tAzNrz7k6CQwBg,pay_Bye1UnWeNGmWv7,55039.93,INR,captured,2026-08-12T11:06:09,1298.94,0.0
order_TCTviHl397G0eY,pay_daiNejnCdN54Oa,34271.69,INR,partially_refunded,2026-08-07T08:01:33,404.41,0.0
order_MWYXJHLk8sJ7F3,pay_YiUzdrORijtp0y,12513.5,INR,captured,2026-08-12T18:26:24,295.32,0.0
order_sYwP8KXSQbD7WW,pay_JSKkMM0jQb6gbt,13295.94,INR,captured,2026-08-14T14:32:49,313.79,0.0
